iliad,13,1,DSDDDA,εὺς δ ἐπεὶ οὖν τρῶάς ,τε καὶ ἕκτορα νηυσὶ πέλασσε
iliad,13,2,DDDDDA,τοὺς μὲν ἔα παρὰ τῇσι ,πόνον τ ἐχέμεν καὶ ὀϊζὺν
iliad,13,3,DSDDDA,νωλεμέως αὐτὸς ,δὲ πάλιν τρέπεν ὄσσε φαεινὼ
iliad,13,4,DDSDDA,νόσφιν ἐφ ἱπποπόλων ,θρῃκῶν καθορώμενος αἶαν
iliad,13,5,SDDSSA,μυσῶν τ ἀγχεμάχων ,καὶ ἀγαυῶν ἱππημολγῶν
iliad,13,6,DDDDSA,γλακτοφάγων ἀβίων ,τε δικαιοτάτων ἀνθρώπων
iliad,13,7,SSDDDA,ἐς τροίην δ οὐ πάμπαν ,ἔτι τρέπεν ὄσσε φαεινώ
iliad,13,8,DDDDDA,οὐ γὰρ ὅ γ ἀθανάτων ,τινα ἔλπετο ὃν κατὰ θυμὸν
iliad,13,9,SSDDDA,ἐλθόντ ἢ τρώεσσιν ,ἀρηξέμεν ἢ δαναοῖσιν
iliad,13,10,DDSSDA,οὐδ ἀλαοσκοπιὴν ,εἶχε κρείων ἐνοσίχθων
iliad,13,11,DSSDDA,καὶ γὰρ ὃ θαυμάζων ,ἧστο πτόλεμόν τε μάχην τε
iliad,13,12,DDDDSA,ὑψοῦ ἐπ ἀκροτάτης ,κορυφῆς σάμου ὑληέσσης
iliad,13,13,DSDDDA,θρηϊκίης ἔνθεν ,γὰρ ἐφαίνετο πᾶσα μὲν ἴδη
iliad,13,14,DDDSDA,φαίνετο δὲ πριάμοιο ,πόλις καὶ νῆες ἀχαιῶν
iliad,13,15,DDDDDA,ἔνθ ἄρ ὅ γ ἐξ ἁλὸς ἕζετ ,ἰών ἐλέαιρε δ ἀχαιοὺς
iliad,13,16,SDDDDA,τρωσὶν δαμναμένους ,διὶ δὲ κρατερῶς ἐνεμέσσα
iliad,13,17,DDDDDA,αὐτίκα δ ἐξ ὄρεος ,κατεβήσετο παιπαλόεντος
iliad,13,18,DDDDDA,κραιπνὰ ποσὶ προβιβάς ,τρέμε δ οὔρεα μακρὰ καὶ ὕλη
iliad,13,19,DDDSDA,ποσσὶν ὑπ ἀθανάτοισι ,ποσειδάωνος ἰόντος
iliad,13,20,DDDDDA,τρὶς μὲν ὀρέξατ ἰών ,τὸ δὲ τέτρατον ἵκετο τέκμωρ
iliad,13,21,SDDDDA,αἰγάς ἔνθα δέ οἱ ,κλυτὰ δώματα βένθεσι λίμνης
iliad,13,22,DSDDDA,χρύσεα μαρμαίροντα ,τετεύχαται ἄφθιτα αἰεί
iliad,13,23,SDDDDA,ἔνθ ἐλθὼν ὑπ ὄχεσφι ,τιτύσκετο χαλκόποδ ἵππω
iliad,13,24,DDDSDA,ὠκυπέτα χρυσέῃσιν ,ἐθείρῃσιν κομόωντε
iliad,13,25,SDDDDA,χρυσὸν δ αὐτὸς ἔδυνε ,περὶ χροΐ γέντο δ ἱμάσθλην
iliad,13,26,SSDDDA,χρυσείην εὔτυκτον ,ἑοῦ δ ἐπεβήσετο δίφρου
iliad,13,27,DDDDDA,βῆ δ ἐλάαν ἐπὶ κύματ ,ἄταλλε δὲ κήτε ὑπ αὐτοῦ
iliad,13,28,DSSSDA,πάντοθεν ἐκ κευθμῶν ,οὐδ ἠγνοίησεν ἄνακτα
iliad,13,29,DDDDDA,γηθοσύνῃ δὲ θάλασσα ,διίστατο τοὶ δὲ πέτοντο
iliad,13,30,DDDDDA,ῥίμφα μάλ οὐδ ὑπένερθε ,διαίνετο χάλκεος ἄξων
iliad,13,31,DSDSDA,τὸν δ ἐς ἀχαιῶν νῆας ,ἐΰσκαρθμοι φέρον ἵπποι
iliad,13,32,DDDSDA,ἔστι δέ τι σπέος εὐρὺ ,βαθείης βένθεσι λίμνης
iliad,13,33,SDDSDA,μεσσηγὺς τενέδοιο ,καὶ ἴμβρου παιπαλοέσσης
iliad,13,34,SSDSDA,ἔνθ ἵππους ἔστησε ,ποσειδάων ἐνοσίχθων
iliad,13,35,SDDDDA,λύσας ἐξ ὀχέων ,παρὰ δ ἀμβρόσιον βάλεν εἶδαρ
iliad,13,36,DDSDDA,ἔδμεναι ἀμφὶ δὲ ποσσὶ πέδας ,ἔβαλε χρυσείας
iliad,13,37,SDSDDA,ἀρρήκτους ἀλύτους ,ὄφρ ἔμπεδον αὖθι μένοιεν
iliad,13,38,SDDDDA,νοστήσαντα ἄνακτα ,ὃ δ ἐς στρατὸν ᾤχετ ἀχαιῶν
iliad,13,39,SDDDDA,τρῶες δὲ φλογὶ ἶσοι ,ἀολλέες ἠὲ θυέλλῃ
iliad,13,40,DDDDDA,ἕκτορι πριαμίδῃ ,ἄμοτον μεμαῶτες ἕποντο
iliad,13,41,DDSDDA,ἄβρομοι αὐΐαχοι ,ἔλποντο δὲ νῆας ἀχαιῶν
iliad,13,42,SDDDDA,αἱρήσειν κτενέειν ,δὲ παρ αὐτόθι πάντας ἀρίστους
iliad,13,43,DSSDDA,ἀλλὰ ποσειδάων ,γαιήοχος ἐννοσίγαιος
iliad,13,44,SSDSDA,ἀργείους ὄτρυνε ,βαθείης ἐξ ἁλὸς ἐλθὼν
iliad,13,45,DSDDDA,εἰσάμενος κάλχαντι ,δέμας καὶ ἀτειρέα φωνήν
iliad,13,46,SSDDDA,αἴαντε πρώτω ,προσέφη μεμαῶτε καὶ αὐτώ
iliad,13,47,SSDDDA,‘αἴαντε σφὼ μέν ,τε σαώσετε λαὸν ἀχαιῶν
iliad,13,48,SDSDDA,ἀλκῆς μνησαμένω ,μὴ δὲ κρυεροῖο φόβοιο
iliad,13,49,SDSDDA,ἄλλῃ μὲν γὰρ ἔγωγ ,οὐ δείδια χεῖρας ἀάπτους
iliad,13,50,SDDDDA,τρώων οἳ μέγα τεῖχος ,ὑπερκατέβησαν ὁμίλῳ
iliad,13,51,SSDSDA,ἕξουσιν γὰρ πάντας ,ἐϋκνήμιδες ἀχαιοί
iliad,13,52,DDDDDA,τῇ δὲ δὴ αἰνότατον ,περιδείδια μή τι πάθωμεν
iliad,13,53,DSDDDA,ᾗ ῥ ὅ γ ὁ λυσσώδης ,φλογὶ εἴκελος ἡγεμονεύει
iliad,13,54,SDDDDA,ἕκτωρ ὃς διὸς εὔχετ ,ἐρισθενέος πάϊς εἶναι
iliad,13,55,SDDDSA,σφῶϊν δ ὧδε θεῶν ,τις ἐνὶ φρεσὶ ποιήσειεν
iliad,13,56,SDDDDA,αὐτώ θ ἑστάμεναι ,κρατερῶς καὶ ἀνωγέμεν ἄλλους
iliad,13,57,DDDSDA,τώ κε καὶ ἐσσύμενόν ,περ ἐρωήσαιτ ἀπὸ νηῶν
iliad,13,58,DSDDDA,ὠκυπόρων εἰ καί ,μιν ὀλύμπιος αὐτὸς ἐγείρει
iliad,13,59,SDSDDA,ἦ καὶ σκηπανίῳ ,γαιήοχος ἐννοσίγαιος
iliad,13,60,DDSDDA,ἀμφοτέρω κεκοπὼς ,πλῆσεν μένεος κρατεροῖο
iliad,13,61,DDDSDA,γυῖα δ ἔθηκεν ἐλαφρὰ ,πόδας καὶ χεῖρας ὕπερθεν
iliad,13,62,SSSDDA,αὐτὸς δ ὥς τ ἴρηξ ,ὠκύπτερος ὦρτο πέτεσθαι
iliad,13,63,DDSDDA,ὅς ῥά τ ἀπ αἰγίλιπος ,πέτρης περιμήκεος ἀρθεὶς
iliad,13,64,SDDSDA,ὁρμήσῃ πεδίοιο ,διώκειν ὄρνεον ἄλλο
iliad,13,65,DSDSDA,ὣς ἀπὸ τῶν ἤϊξε ,ποσειδάων ἐνοσίχθων
iliad,13,66,SSDSDA,τοῖιν δ ἔγνω πρόσθεν ,ὀϊλῆος ταχὺς αἴας
iliad,13,67,DSDDDA,αἶψα δ ἄρ αἴαντα ,προσέφη τελαμώνιον υἱόν
iliad,13,68,DSDDDA,‘αἶαν ἐπεί τις νῶϊ ,θεῶν οἳ ὄλυμπον ἔχουσι
iliad,13,69,DDDDDA,μάντεϊ εἰδόμενος ,κέλεται παρὰ νηυσὶ μάχεσθαι
iliad,13,70,DSSDSA,οὐδ ὅ γε Κάλχας ἐστὶ θεοπρόπος οἰωνιστής,NA
iliad,13,71,DDDSSA,ἴχνια γὰρ μετόπισθε ,ποδῶν ἠδὲ κνημάων
iliad,13,72,SDDSDA,ῥεῖ ἔγνων ἀπιόντος ,ἀρίγνωτοι δὲ θεοί περ
iliad,13,73,DSDSDA,καὶ δ ἐμοὶ αὐτῷ θυμὸς ,ἐνὶ στήθεσσι φίλοισι
iliad,13,74,DSDSDA,μᾶλλον ἐφορμᾶται ,πολεμίζειν ἠδὲ μάχεσθαι
iliad,13,75,SDDSDA,μαιμώωσι δ ἔνερθε ,πόδες καὶ χεῖρες ὕπερθε
iliad,13,76,DDDDDA,τὸν δ ἀπαμειβόμενος ,προσέφη τελαμώνιος αἴας
iliad,13,77,SDDDDA,‘οὕτω νῦν καὶ ἐμοὶ ,περὶ δούρατι χεῖρες ἄαπτοι
iliad,13,78,SSDDDA,μαιμῶσιν καί μοι ,μένος ὤρορε νέρθε δὲ ποσσὶν
iliad,13,79,DDDSDA,ἔσσυμαι ἀμφοτέροισι ,μενοινώω δὲ καὶ οἶος
iliad,13,80,DDDDDA,ἕκτορι πριαμίδῃ ,ἄμοτον μεμαῶτι μάχεσθαι
iliad,13,81,SSDSDA,ὣς οἳ μὲν τοιαῦτα ,πρὸς ἀλλήλους ἀγόρευον
iliad,13,82,SDSDDA,‘χάρμῃ γηθόσυνοι ,τήν σφιν θεὸς ἔμβαλε θυμῷ
iliad,13,83,DDSDDA,τόφρα δὲ τοὺς ὄπιθεν ,γαιήοχος ὦρσεν ἀχαιούς
iliad,13,84,DDDSDA,οἳ παρὰ νηυσὶ θοῇσιν ,ἀνέψυχον φίλον ἦτορ
iliad,13,85,DDDDDA,τῶν ῥ ἅμα τ ἀργαλέῳ ,καμάτῳ φίλα γυῖα λέλυντο
iliad,13,86,DDDDDA,καί σφιν ἄχος κατὰ θυμὸν ,ἐγίγνετο δερκομένοισι
iliad,13,87,SDDDDA,τρῶας τοὶ μέγα τεῖχος ,ὑπερκατέβησαν ὁμίλῳ
